voter_name,affiliation,first_fwd,first_fwd_2,first_cen,first_g,first_g_2,second_fwd,second_fwd_2,second_cen,second_g,second_g_2,year,award
Kevin O'Connor,The Ringer,"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Antetokounmpo, Giannis (MIL)","Turner, Myles (IND)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","Bridges, Mikal (PHX)",2021,All-Defense
Kevin Pelton,ESPN,"Green, Draymond (GSW)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Antetokounmpo, Giannis (MIL)","Thybulle, Matisse (PHI)","Capela, Clint (ATL)","Dort, Luguentz (OKC)","Holiday, Jrue (MIL)",2021,All-Defense
Kurt Helin,NBCSports.com,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Butler, Jimmy (MIA)","Simmons, Ben (PHI)","Thybulle, Matisse (PHI)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Holiday, Jrue (MIL)","Smart, Marcus (BOS)",2021,All-Defense
Kyle Goon,Southern California News Group,"Green, Draymond (GSW)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Bridges, Mikal (PHX)","Antetokounmpo, Giannis (MIL)","Capela, Clint (ATL)","Caruso, Alex (LAL)","Smart, Marcus (BOS)",2021,All-Defense
Lisa Hsu,Tencent,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Leonard, Kawhi (LAC)","Adebayo, Bam (MIA)","Capela, Clint (ATL)","Butler, Jimmy (MIA)","Smart, Marcus (BOS)",2021,All-Defense
Marc Kestecher,ESPN,"Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Adebayo, Bam (MIA)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Bridges, Mikal (PHX)","Thybulle, Matisse (PHI)",2021,All-Defense
Maria Taylor,ESPN,"Simmons, Ben (PHI)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Leonard, Kawhi (LAC)","Randle, Julius (NYK)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Butler, Jimmy (MIA)","George, Paul (LAC)",2021,All-Defense
Mark Jackson,ESPN,"Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Leonard, Kawhi (LAC)","Green, Draymond (GSW)","Turner, Myles (IND)","Bridges, Mikal (PHX)","Paul, Chris (PHX)",2021,All-Defense
Mark Medina,USA Today,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Adebayo, Bam (MIA)","Thybulle, Matisse (PHI)","Embiid, Joel (PHI)","Smart, Marcus (BOS)","Butler, Jimmy (MIA)",2021,All-Defense
Marv Albert,Turner,"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Antetokounmpo, Giannis (MIL)","Bridges, Mikal (PHX)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","Paul, Chris (PHX)",2021,All-Defense
Matt Winer,Turner,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Leonard, Kawhi (LAC)","Dort, Luguentz (OKC)","Capela, Clint (ATL)","Thybulle, Matisse (PHI)","Holiday, Jrue (MIL)",2021,All-Defense
Mauricio Codocea,Clarin (Argentina),"Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Paul, Chris (PHX)","Green, Draymond (GSW)","Bridges, Mikal (PHX)","Adebayo, Bam (MIA)","Butler, Jimmy (MIA)","Thybulle, Matisse (PHI)",2021,All-Defense
Max Haupt,DPA,"Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Wood, Christian (HOU)","Theis, Daniel (CHI)","Turner, Myles (IND)","Paul, Chris (PHX)","Schroder, Dennis (LAL)",2021,All-Defense
Melissa Rohlin,Fox Sports,"Green, Draymond (GSW)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Capela, Clint (ATL)","Thybulle, Matisse (PHI)","Bridges, Mikal (PHX)",2021,All-Defense
Michael C. Wright,NBA.com,"Green, Draymond (GSW)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Capela, Clint (ATL)","Holiday, Jrue (MIL)","Thybulle, Matisse (PHI)",2021,All-Defense
Michael Grange,Rogers Sportsnet,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","VanVleet, Fred (TOR)","Butler, Jimmy (MIA)",2021,All-Defense
Michael Wilbon,ESPN,"Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","George, Paul (LAC)","Conley, Mike (UTA)","Antetokounmpo, Giannis (MIL)","Randle, Julius (NYK)","Capela, Clint (ATL)","Westbrook, Russell (WAS)","Paul, Chris (PHX)",2021,All-Defense
Mike Singer,Denver Post,"Green, Draymond (GSW)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Adebayo, Bam (MIA)","Antetokounmpo, Giannis (MIL)","Capela, Clint (ATL)","George, Paul (LAC)","Dort, Luguentz (OKC)",2021,All-Defense
Mirjam Swanson,Southern California News Group,"Adebayo, Bam (MIA)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Davis, Anthony (LAL)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","Butler, Jimmy (MIA)",2021,All-Defense
Olgun Uluc,ESPN Australia,"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Embiid, Joel (PHI)","Leonard, Kawhi (LAC)","Capela, Clint (ATL)","Butler, Jimmy (MIA)","Thybulle, Matisse (PHI)",2021,All-Defense
Omari Sankofa II,Detroit Free Press,"Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Bridges, Mikal (PHX)","Thybulle, Matisse (PHI)",2021,All-Defense
Rachel Nichols,ESPN,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Embiid, Joel (PHI)","Adebayo, Bam (MIA)","Capela, Clint (ATL)","Thybulle, Matisse (PHI)","Butler, Jimmy (MIA)",2021,All-Defense
Ramona Shelburne,ESPN,"Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Adebayo, Bam (MIA)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Holiday, Jrue (MIL)","Caruso, Alex (LAL)",2021,All-Defense
Ric Bucher,Sirius Radio,"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Schroder, Dennis (LAL)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Noel, Nerlens (NYK)","Leonard, Kawhi (LAC)","Caldwell-Pope, Kentavious (LAL)",2021,All-Defense
Rob Mahoney,The Ringer,"Antetokounmpo, Giannis (MIL)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Green, Draymond (GSW)","Anunoby, OG (TOR)","Turner, Myles (IND)","Dort, Luguentz (OKC)","Thybulle, Matisse (PHI)",2021,All-Defense
Roy Parry,Orlando Sentinel,"Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Gobert, Rudy (UTA)","Butler, Jimmy (MIA)","Simmons, Ben (PHI)","Green, Draymond (GSW)","Adebayo, Bam (MIA)","Capela, Clint (ATL)","Smart, Marcus (BOS)","Holiday, Jrue (MIL)",2021,All-Defense
Royce Young,ESPN,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Butler, Jimmy (MIA)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Dort, Luguentz (OKC)","Thybulle, Matisse (PHI)",2021,All-Defense
Ryan Wolstat,The Toronto Sun,"Antetokounmpo, Giannis (MIL)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Green, Draymond (GSW)","Bridges, Mikal (PHX)","Embiid, Joel (PHI)","George, Paul (LAC)","VanVleet, Fred (TOR)",2021,All-Defense
Sam Amick,The Athletic,"Green, Draymond (GSW)","Embiid, Joel (PHI)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Adebayo, Bam (MIA)","Antetokounmpo, Giannis (MIL)","Capela, Clint (ATL)","George, Paul (LAC)","Leonard, Kawhi (LAC)",2021,All-Defense
Scott Kushner,New Orleans Times Picayune,"Green, Draymond (GSW)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Capela, Clint (ATL)","Bridges, Mikal (PHX)","Thybulle, Matisse (PHI)",2021,All-Defense
Seerat Sohi,The Ringer,"Green, Draymond (GSW)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Butler, Jimmy (MIA)","Simmons, Ben (PHI)","Antetokounmpo, Giannis (MIL)","Bridges, Mikal (PHX)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","Holiday, Jrue (MIL)",2021,All-Defense
Shams Charania,The Athletic/Stadium,"Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Butler, Jimmy (MIA)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","Leonard, Kawhi (LAC)",2021,All-Defense
Shaun Powell,NBA.com,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Murray, Dejounte (SAS)","Turner, Myles (IND)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","Butler, Jimmy (MIA)",2021,All-Defense
Simone Sandri,Gazzetta.it,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Adebayo, Bam (MIA)","Turner, Myles (IND)","Capela, Clint (ATL)","Butler, Jimmy (MIA)","Thybulle, Matisse (PHI)",2021,All-Defense
Stefan Bondy,New York Daily News,"Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Green, Draymond (GSW)","Leonard, Kawhi (LAC)","Capela, Clint (ATL)","Butler, Jimmy (MIA)","Bridges, Mikal (PHX)",2021,All-Defense
Stephen A. Smith,ESPN,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Capela, Clint (ATL)","Butler, Jimmy (MIA)","Bridges, Mikal (PHX)",2021,All-Defense
Steve Aschburner,NBA.com,"Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Green, Draymond (GSW)","Butler, Jimmy (MIA)","Capela, Clint (ATL)","Bridges, Mikal (PHX)","Thybulle, Matisse (PHI)",2021,All-Defense
Steve Smith,Turner,"Green, Draymond (GSW)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Antetokounmpo, Giannis (MIL)","Turner, Myles (IND)","Embiid, Joel (PHI)","Butler, Jimmy (MIA)","Thybulle, Matisse (PHI)",2021,All-Defense
Taylor Rooks,Bleacher Report,"Green, Draymond (GSW)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Capela, Clint (ATL)","Butler, Jimmy (MIA)","Thybulle, Matisse (PHI)",2021,All-Defense
Tim Bontemps,ESPN,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Leonard, Kawhi (LAC)","Butler, Jimmy (MIA)","Embiid, Joel (PHI)","Dort, Luguentz (OKC)","Smart, Marcus (BOS)",2021,All-Defense
Tim Reynolds,Associated Press,"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Antetokounmpo, Giannis (MIL)","Butler, Jimmy (MIA)","Embiid, Joel (PHI)","McConnell, T.J. (IND)","Murray, Dejounte (SAS)",2021,All-Defense
Tony Jones,The Athletic,"Green, Draymond (GSW)","Embiid, Joel (PHI)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)","O'Neale, Royce (UTA)","Capela, Clint (ATL)","Schroder, Dennis (LAL)","Green, Danny (PHI)",2021,All-Defense
Vince Goodwill,Yahoo! Sports,"Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Butler, Jimmy (MIA)","Thybulle, Matisse (PHI)","Embiid, Joel (PHI)","Leonard, Kawhi (LAC)","Smart, Marcus (BOS)",2021,All-Defense
Yoko Miyaji,Sports Graphic Number,"Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","George, Paul (LAC)","Bridges, Mikal (PHX)","Embiid, Joel (PHI)","Butler, Jimmy (MIA)","Thybulle, Matisse (PHI)",2021,All-Defense
Zach Harper,The Athletic,"Green, Draymond (GSW)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Bridges, Mikal (PHX)","Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Thybulle, Matisse (PHI)","Smart, Marcus (BOS)",2021,All-Defense
Zach Lowe,ESPN,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Butler, Jimmy (MIA)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)","Thybulle, Matisse (PHI)","Embiid, Joel (PHI)","Holiday, Jrue (MIL)","Smart, Marcus (BOS)",2021,All-Defense
Adam Himmelsbach,Boston Globe,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Leonard, Kawhi (LAC)","Smart, Marcus (BOS)","Tucker, P.J. (HOU)","Adebayo, Bam (MIA)","Lopez, Brook (MIL)","Simmons, Ben (PHI)","Bledsoe, Eric (MIL)",2020,All-Defense
Amin Elhassan,ESPN,"Davis, Anthony (LAL)","Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Leonard, Kawhi (LAC)","Simmons, Ben (PHI)","Thybulle, Matisse (PHI)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bledsoe, Eric (MIL)",2020,All-Defense
Andy Larsen,Salt Lake Tribune,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Tucker, P.J. (HOU)","Leonard, Kawhi (LAC)","Lopez, Brook (MIL)","Bledsoe, Eric (MIL)","Dunn, Kris (CHI)",2020,All-Defense
Anthony Chiang,Miami Herald,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Bledsoe, Eric (MIL)","Leonard, Kawhi (LAC)","Adebayo, Bam (MIA)","Lopez, Brook (MIL)","Holiday, Jrue (NOP)","Smart, Marcus (BOS)",2020,All-Defense
Antoine Bancharel,Canal+ Afrique,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Davis, Anthony (LAL)","Tatum, Jayson (BOS)","Lopez, Brook (MIL)","Bledsoe, Eric (MIL)","Dunn, Kris (CHI)",2020,All-Defense
Antoni Daimiel,Movistar+,"Davis, Anthony (LAL)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)","Lowry, Kyle (TOR)","Paul, Chris (OKC)","Brown, Jaylen (BOS)","Leonard, Kawhi (LAC)","Lopez, Brook (MIL)","Bledsoe, Eric (MIL)","Smart, Marcus (BOS)",2020,All-Defense
Bill Simmons,The Ringer,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Simmons, Ben (PHI)","Leonard, Kawhi (LAC)","Tatum, Jayson (BOS)","Adebayo, Bam (MIA)","Dunn, Kris (CHI)","Bledsoe, Eric (MIL)",2020,All-Defense
Brad Townsend,Dallas Morning News,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Beverley, Patrick (LAC)","Simmons, Ben (PHI)","Leonard, Kawhi (LAC)","Adebayo, Bam (MIA)","Lopez, Brook (MIL)","Lowry, Kyle (TOR)","Smart, Marcus (BOS)",2020,All-Defense
Brian Mahoney,Associated Press,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (NOP)","Leonard, Kawhi (LAC)","Turner, Myles (IND)","Lopez, Brook (MIL)","Smart, Marcus (BOS)","Beverley, Patrick (LAC)",2020,All-Defense
Brian Windhorst,ESPN,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Simmons, Ben (PHI)","Leonard, Kawhi (LAC)","Tucker, P.J. (HOU)","Lopez, Brook (MIL)","Holiday, Jrue (NOP)","Lowry, Kyle (TOR)",2020,All-Defense
Candace Parker,Turner,"Davis, Anthony (LAL)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Leonard, Kawhi (LAC)","Smart, Marcus (BOS)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)","Lopez, Brook (MIL)","Dunn, Kris (CHI)","Butler, Jimmy (MIA)",2020,All-Defense
Casey Stern,Turner,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Davis, Anthony (LAL)","Tucker, P.J. (HOU)","Embiid, Joel (PHI)","George, Paul (LAC)","Beverley, Patrick (LAC)",2020,All-Defense
Cassidy Hubbarth,ESPN,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Butler, Jimmy (MIA)","Tucker, P.J. (HOU)","Lopez, Brook (MIL)","Dunn, Kris (CHI)","Leonard, Kawhi (LAC)",2020,All-Defense
Chris Broussard,Fox Sports,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Simmons, Ben (PHI)","Leonard, Kawhi (LAC)","Siakam, Pascal (TOR)","Adebayo, Bam (MIA)","Beverley, Patrick (LAC)","Bledsoe, Eric (MIL)",2020,All-Defense
Chris Fedor,Cleveland.com,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Dunn, Kris (CHI)","Leonard, Kawhi (LAC)","Turner, Myles (IND)","Lopez, Brook (MIL)","James, LeBron (LAL)","Smart, Marcus (BOS)",2020,All-Defense
Chris Haynes,Yahoo! Sports,"Davis, Anthony (LAL)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Antetokounmpo, Giannis (MIL)","Baynes, Aron (PHX)","Turner, Myles (IND)","Beverley, Patrick (LAC)","Murray, Dejounte (SAS)",2020,All-Defense
Chris Hine,Minneapolis Star Tribune,"Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Davis, Anthony (LAL)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Leonard, Kawhi (LAC)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Bledsoe, Eric (MIL)","Beverley, Patrick (LAC)",2020,All-Defense
Chris Kirschner,The Athletic,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Leonard, Kawhi (LAC)","Tatum, Jayson (BOS)","Lopez, Brook (MIL)","Dunn, Kris (CHI)","Holiday, Jrue (NOP)",2020,All-Defense
Chris Mannix,Sports Illustrated,"Davis, Anthony (LAL)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Leonard, Kawhi (LAC)","Adebayo, Bam (MIA)","Lopez, Brook (MIL)","Butler, Jimmy (MIA)","Dunn, Kris (CHI)",2020,All-Defense
Chris Sasaki,Rakuten,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Leonard, Kawhi (LAC)","Siakam, Pascal (TOR)","Lopez, Brook (MIL)","Lowry, Kyle (TOR)","Dunn, Kris (CHI)",2020,All-Defense
Connor Letourneau,San Francisco Chronicle,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Tucker, P.J. (HOU)","Leonard, Kawhi (LAC)","Lopez, Brook (MIL)","Dunn, Kris (CHI)","Bledsoe, Eric (MIL)",2020,All-Defense
Coral Lu,ESPN-Tencent,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Bledsoe, Eric (MIL)","Davis, Anthony (LAL)","Tucker, P.J. (HOU)","Embiid, Joel (PHI)","Smart, Marcus (BOS)","Lowry, Kyle (TOR)",2020,All-Defense
Dan Devine,The Ringer,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Dunn, Kris (CHI)","Adebayo, Bam (MIA)","Leonard, Kawhi (LAC)","Lopez, Brook (MIL)","Smart, Marcus (BOS)","Butler, Jimmy (MIA)",2020,All-Defense
Dave McMenamin,ESPN,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Adebayo, Bam (MIA)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Butler, Jimmy (MIA)","Bledsoe, Eric (MIL)",2020,All-Defense
Dave Pasch,ESPN,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","Simmons, Ben (PHI)","Beverley, Patrick (LAC)","Adebayo, Bam (MIA)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","DiVincenzo, Donte (MIL)","Bledsoe, Eric (MIL)",2020,All-Defense
Davide Chinellato,La Gazzetta dello Sport,"Davis, Anthony (LAL)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Beverley, Patrick (LAC)","Leonard, Kawhi (LAC)","Tucker, P.J. (HOU)","Lopez, Brook (MIL)","Bledsoe, Eric (MIL)","Smart, Marcus (BOS)",2020,All-Defense
Dennis Scott,Turner,"Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Paul, Chris (OKC)","Butler, Jimmy (MIA)","Turner, Myles (IND)","Allen, Jarrett (BKN)","VanVleet, Fred (TOR)","Smart, Marcus (BOS)",2020,All-Defense
Diego Martinez,Reforma,"Davis, Anthony (LAL)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Beverley, Patrick (LAC)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Smart, Marcus (BOS)","Holiday, Jrue (NOP)",2020,All-Defense
Doris Burke,ESPN,"Davis, Anthony (LAL)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Tatum, Jayson (BOS)","Leonard, Kawhi (LAC)","Lopez, Brook (MIL)","Dunn, Kris (CHI)","Bledsoe, Eric (MIL)",2020,All-Defense
Doug Smith,The Toronto Star,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","Tatum, Jayson (BOS)","Lopez, Brook (MIL)","Dunn, Kris (CHI)","Smart, Marcus (BOS)",2020,All-Defense
Duane Rankin,Arizona Republic,"Davis, Anthony (LAL)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Harden, James (HOU)","Butler, Jimmy (MIA)","Leonard, Kawhi (LAC)","Adebayo, Bam (MIA)","Smart, Marcus (BOS)","Lillard, Damian (POR)",2020,All-Defense
Erik Horne,The Athletic,"Davis, Anthony (LAL)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Simmons, Ben (PHI)","Tucker, P.J. (HOU)","Leonard, Kawhi (LAC)","Lopez, Brook (MIL)","Dunn, Kris (CHI)","Holiday, Jrue (NOP)",2020,All-Defense
Ernie Johnson,Turner,"Leonard, Kawhi (LAC)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Bledsoe, Eric (MIL)","Simmons, Ben (PHI)","Davis, Anthony (LAL)","Tatum, Jayson (BOS)","Lopez, Brook (MIL)","Smart, Marcus (BOS)","Beverley, Patrick (LAC)",2020,All-Defense
